,State,Total Ballots Counted,Voting-Eligible Population (VEP),Voting-Age Population (VAP),Party,Year
84,North Carolina,"3,552,449","6,055,771","6,505,150",Republican,2004
85,North Dakota,"316,049","482,722","496,479",Republican,2004
86,Ohio,"5,722,443","8,427,696","8,624,277",Republican,2004
87,Oklahoma,,"2,510,823","2,649,994",Republican,2004
88,Oregon,"1,851,671","2,550,887","2,736,472",Democrat,2004
89,Pennsylvania,,"9,221,962","9,554,349",Democrat,2004
90,Rhode Island,"440,228","747,046","827,513",Democrat,2004
91,South Carolina,"1,626,720","3,055,098","3,198,733",Republican,2004
92,South Dakota,"394,930","569,161","576,472",Republican,2004
93,Tennessee,"2,456,610","4,328,446","4,496,929",Republican,2004
94,Texas,,"13,796,256","16,284,659",Republican,2004
95,Utah,"942,010","1,574,463","1,664,066",Republican,2004
96,Vermont,"314,220","470,754","480,053",Democrat,2004
97,Virginia,"3,223,156","5,277,156","5,699,175",Republican,2004
98,Washington,"2,883,499","4,272,914","4,683,829",Democrat,2004
99,West Virginia,"769,645","1,396,545","1,425,689",Republican,2004
100,Wisconsin,"3,016,288","4,006,948","4,172,068",Democrat,2004
101,Wyoming,"245,789","370,785","386,796",Republican,2004
102,United States,"132,609,063","213,313,508","230,872,030",N/A,2008
103,Alabama,"2,105,622","3,454,510","3,595,708",Rebuplican,2008
104,Alaska,"327,341","479,429","507,645",Republican,2008
105,Arizona,"2,320,851","4,046,075","4,673,718",Republican,2008
106,Arkansas,"1,095,958","2,071,563","2,174,846",Republican,2008
107,California,"13,743,177","22,261,504","27,411,094",Democrat,2008
108,Colorado,"2,422,236","3,382,959","3,708,955",Democrat,2008
109,Connecticut,,"2,471,082","2,725,917",Democrat,2008
110,Delaware,"413,562","628,200","680,493",Democrat,2008
111,Florida,"8,453,743","12,687,407","14,558,436",Democrat,2008
112,Georgia,"3,940,705","6,281,872","7,063,638",Republican,2008
113,Hawaii,"456,064","930,067","1,036,088",Democrat,2008
114,Idaho,"667,506","1,029,416","1,117,842",Republican,2008
115,Illinois,"5,578,195","8,681,138","9,615,700",Democrat,2008
116,Indiana,"2,805,986","4,653,019","4,826,231",Democrat,2008
117,Iowa,"1,543,662","2,216,094","2,298,515",Democrat,2008
118,Kansas,"1,264,208","1,991,759","2,100,084",Republican,2008
119,Kentucky,"1,858,578","3,152,629","3,277,617",Republican,2008
120,Louisiana,"1,979,852","3,205,794","3,342,279",Republican,2008
121,Maine,"744,456","1,036,242","1,049,816",Democrat,2008
122,Maryland,"2,661,905","3,925,117","4,342,850",Democrat,2008
123,Massachusetts,"3,102,995","4,612,550","5,058,035",Democrat,2008
124,Michigan,"5,039,080","7,229,512","7,528,460",Democrat,2008
125,Minnesota,"2,921,147","3,740,142","3,975,974",Democrat,2008
126,Mississippi,,"2,113,347","2,190,402",Republican,2008
127,Missouri,"2,950,504","4,327,572","4,507,688",Republican,2008
128,Montana,"497,599","741,853","755,384",Republican,2008
129,Nebraska,"811,923","1,274,719","1,348,048",Republican,2008
130,Nevada,"970,019","1,696,831","2,000,277",Democrat,2008
131,New Hampshire,"719,643","992,226","1,021,787",Democrat,2008
132,New Jersey,"3,910,220","5,776,527","6,651,284",Democrat,2008
133,New Mexico,"833,365","1,362,629","1,505,830",Democrat,2008
134,New York,"7,721,718","12,948,969","14,876,971",Democrat,2008
135,North Carolina,"4,354,571","6,584,302","7,096,503",Democrat,2008
136,North Dakota,"321,133","504,762","512,768",Republican,2008
137,Ohio,"5,773,777","8,513,079","8,757,453",Democrat,2008
138,Oklahoma,"1,474,694","2,619,121","2,770,219",Republican,2008
139,Oregon,"1,845,251","2,700,327","2,916,246",Democrat,2008
140,Pennsylvania,"6,071,357","9,457,942","9,813,664",Democrat,2008
141,Rhode Island,"475,428","763,608","825,786",Democrat,2008
142,South Carolina,"1,927,153","3,311,044","3,473,488",Republican,2008
143,South Dakota,"387,449","590,720","602,539",Republican,2008
144,Tennessee,"2,618,238","4,563,192","4,771,926",Republican,2008
145,Texas,,"14,929,810","17,756,112",Republican,2008
146,Utah,"971,185","1,700,286","1,840,087",Republican,2008
147,Vermont,"326,822","482,677","492,610",Democrat,2008
148,Virginia,"3,753,059","5,555,415","6,022,123",Democrat,2008
149,Washington,"3,071,587","4,561,163","5,032,960",Democrat,2008
150,West Virginia,"731,691","1,430,439","1,453,045",Republican,2008
151,Wisconsin,"2,997,086","4,120,694","4,306,876",Democrat,2008
152,Wyoming,"256,035","405,732","418,040",Republican,2008
153,United States,"130,292,355","222,474,111","240,957,993",N/A,2012
154,Alabama,,"3,539,217","3,707,440",Rebuplican,2012
155,Alaska,"301,694","511,792","543,763",Republican,2012
156,Arizona,"2,323,579","4,387,900","4,959,270",Republican,2012
157,Arkansas,"1,078,548","2,109,847","2,242,740",Republican,2012
158,California,"13,202,158","23,681,837","28,913,129",Democrat,2012
159,Colorado,"2,596,173","3,675,871","3,981,208",Democrat,2012
160,Connecticut,"1,560,640","2,543,202","2,801,375",Democrat,2012
161,Delaware,,"663,967","715,708",Democrat,2012
162,Florida,"8,538,264","13,495,057","15,380,947",Democrat,2012
163,Georgia,"3,919,355","6,606,607","7,452,696",Republican,2012
164,Hawaii,"437,159","982,902","1,088,335",Democrat,2012
165,Idaho,"666,290","1,091,410","1,173,727",Republican,2012
166,Illinois,"5,279,752","8,899,143","9,827,043",Democrat,2012
167,Indiana,"2,663,368","4,755,291","4,960,376",Republican,2012
168,Iowa,"1,589,951","2,251,748","2,356,209",Democrat,2012
169,Kansas,"1,182,771","2,030,686","2,162,442",Republican,2012
170,Kentucky,"1,815,843","3,229,185","3,368,684",Republican,2012
171,Louisiana,"2,014,548","3,311,626","3,495,847",Republican,2012
172,Maine,"724,758","1,046,008","1,064,779",Democrat,2012
173,Maryland,"2,734,062","4,063,582","4,553,853",Democrat,2012
174,Massachusetts,"3,184,196","4,809,675","5,263,550",Democrat,2012
175,Michigan,"4,780,701","7,312,725","7,625,576",Democrat,2012
176,Minnesota,"2,950,780","3,861,598","4,114,820",Democrat,2012
177,Mississippi,,"2,166,825","2,246,931",Republican,2012
178,Missouri,,"4,432,957","4,628,500",Republican,2012
179,Montana,"491,966","774,476","785,454",Republican,2012
180,Nebraska,"804,245","1,316,915","1,396,507",Republican,2012
181,Nevada,"1,016,664","1,800,969","2,105,976",Democrat,2012
182,New Hampshire,"718,700","1,013,420","1,047,978",Democrat,2012
183,New Jersey,"3,683,638","5,918,182","6,847,503",Democrat,2012
184,New Mexico,"786,522","1,436,363","1,573,400",Democrat,2012
185,New York,"7,128,852","13,324,107","15,344,671",Democrat,2012
186,North Carolina,"4,542,488","6,947,954","7,496,980",Republican,2012
187,North Dakota,"325,564","539,164","549,955",Republican,2012
188,Ohio,"5,632,423","8,649,495","8,896,930",Democrat,2012
189,Oklahoma,,"2,713,268","2,885,093",Republican,2012
190,Oregon,"1,820,507","2,836,101","3,050,747",Democrat,2012
191,Pennsylvania,,"9,651,432","10,037,099",Democrat,2012
192,Rhode Island,,"768,918","834,983",Democrat,2012
193,South Carolina,"1,981,516","3,486,838","3,662,322",Republican,2012
194,South Dakota,"368,270","613,190","631,472",Republican,2012
195,Tennessee,"2,479,733","4,736,084","4,976,284",Republican,2012
196,Texas,,"16,119,973","19,185,395",Republican,2012
197,Utah,"1,028,786","1,833,339","1,978,956",Republican,2012
198,Vermont,"301,793","493,355","502,242",Democrat,2012
199,Virginia,"3,888,186","5,834,676","6,348,827",Democrat,2012
200,Washington,"3,172,939","4,822,060","5,329,782",Democrat,2012
201,West Virginia,,"1,447,066","1,472,642",Republican,2012
202,Wisconsin,"3,084,115","4,209,370","4,417,273",Democrat,2012
203,Wyoming,"250,701","425,142","441,726",Republican,2012
204,United States,"138,846,571","230,931,921","250,055,734",N/A,2016
205,Alabama,"2,134,061","3,609,447","3,770,142",Republican,2016
206,Alaska,"321,271","522,679","555,367",Republican,2016
207,Arizona,"2,661,497","4,740,310","5,331,034",Republican,2016
208,Arkansas,"1,137,772","2,140,097","2,286,625",Republican,2016
209,California,"14,610,509","25,104,844","30,201,571",Democrat,2016
210,Colorado,"2,859,216","3,974,405","4,305,728",Democrat,2016
211,Connecticut,"1,675,955","2,582,761","2,821,935",Democrat,2016
212,Delaware,"445,228","691,720","749,872",Democrat,2016
213,Florida,"9,580,489","14,601,066","16,565,588",Republican,2016
214,Georgia,"4,165,405","6,959,963","7,828,207",Republican,2016
215,Hawaii,"437,664","1,012,860","1,120,465",Democrat,2016
216,Idaho,"710,545","1,166,706","1,253,925",Republican,2016
217,Illinois,"5,666,118","8,985,443","9,866,799",Democrat,2016
218,Indiana,"2,807,676","4,849,937","5,063,393",Republican,2016
219,Iowa,"1,581,371","2,288,536","2,406,915",Republican,2016
220,Kansas,"1,225,667","2,054,025","2,192,423",Republican,2016
221,Kentucky,"1,955,195","3,282,420","3,430,652",Republican,2016
222,Louisiana,"2,049,531","3,384,435","3,571,652",Republican,2016
223,Maine,"771,892","1,058,372","1,078,037",Democrat,2016
224,Maryland,"2,807,322","4,189,616","4,670,900",Democrat,2016
225,Massachusetts,"3,378,801","4,948,028","5,442,458",Democrat,2016
226,Michigan,"4,874,619","7,420,628","7,744,567",Republican,2016
227,Minnesota,"2,968,281","3,973,204","4,240,423",Democrat,2016
228,Mississippi,,"2,191,241","2,268,089",Republican,2016
229,Missouri,"2,811,549","4,517,925","4,710,784",Republican,2016
230,Montana,"516,901","804,250","817,702",Republican,2016
231,Nebraska,"860,573","1,343,821","1,436,437",Republican,2016
232,Nevada,"1,125,429","1,961,587","2,276,281",Republican,2016
233,New Hampshire,"755,850","1,042,795","1,076,739",Republican,2016
234,New Jersey,"3,957,303","6,013,656","6,959,892",Democrat,2016
235,New Mexico,"804,043","1,464,515","1,591,069",Democrat,2016
236,New York,"7,786,881","13,604,645","15,557,982",Democrat,2016
237,North Carolina,"4,769,640","7,352,501","7,880,013",Republican,2016
238,North Dakota,"349,945","566,783","581,188",Republican,2016
239,Ohio,"5,607,641","8,736,808","9,007,953",Republican,2016
240,Oklahoma,,"2,778,219","2,965,905",Republican,2016
241,Oregon,"2,056,310","3,024,174","3,244,277",Democrat,2016
242,Pennsylvania,,"9,691,160","10,108,486",Republican,2016
243,Rhode Island,"469,589","786,012","848,975",Democrat,2016
244,South Carolina,"2,123,584","3,709,283","3,883,145",Republican,2016
245,South Dakota,"378,995","631,173","653,841",Republican,2016
246,Tennessee,"2,545,271","4,909,426","5,164,969",Republican,2016
247,Texas,"8,975,000","17,448,910","20,671,564",Republican,2016
248,Utah,"1,152,369","1,991,885","2,144,784",Republican,2016
249,Vermont,"320,467","494,871","506,048",Democrat,2016
250,Virginia,,"6,027,152","6,551,390",Democrat,2016
251,Washington,"3,363,440","5,123,020","5,691,833",Democrat,2016
252,West Virginia,,"1,423,031","1,453,201",Republican,2016
253,Wisconsin,,"4,285,071","4,495,783",Republican,2016
254,Wyoming,"258,788","429,682","446,396",Republican,2016
255,United States,"159,738,337","239,924,038","258,339,023",N/A,2020
256,Alabama,"2,325,000","3,761,001","3,917,288",Republican,2020
257,Alaska,"361,400","528,180","553,820",Republican,2020
258,Arizona,"3,420,585","4,984,557","5,574,070",Democrat,2020
259,Arkansas,"1,223,675","2,166,787","2,315,001",Republican,2020
260,California,"17,785,151","25,917,882","30,730,598",Democrat,2020
261,Colorado,"3,295,666","4,246,895","4,525,319",Democrat,2020
262,Connecticut,"1,861,086","2,632,351","2,871,003",Democrat,2020
263,Delaware,"509,241","725,994","786,622",Democrat,2020
264,Florida,"11,144,855","15,404,801","17,379,930",Republican,2020
265,Georgia,"5,023,159","7,364,716","8,234,938",Republican,2020
266,Hawaii,"579,784","1,041,039","1,150,905",Democrat,2020
267,Idaho,"878,527","1,298,949","1,391,199",Republican,2020
268,Illinois,"6,050,000","9,148,531","9,964,476",Democrat,2020
269,Indiana,"3,068,542","4,985,618","5,199,619",Republican,2020
270,Iowa,"1,700,130","2,332,831","2,451,863",Republican,2020
271,Kansas*,"1,375,125","2,094,282","2,229,903",Democrat,2020
272,Kentucky,"2,150,954","3,319,244","3,486,455",Democrat,2020
273,Louisiana,"2,169,401","3,378,891","3,562,696",Democrat,2020
274,Maine,"828,305","1,093,470","1,112,819",Democrat,2020
275,Maryland,"3,066,945","4,388,734","4,811,635",Democrat,2020
276,Massachusetts,"3,658,005","5,151,671","5,652,754",Democrat,2020
277,Michigan,"5,579,317","7,587,900","7,910,023",Democrat,2020
278,Minnesota,"3,292,997","4,128,534","4,389,244",Democrat,2020
279,Mississippi,"1,325,000","2,194,780","2,272,141",Republican,2020
280,Missouri,"3,026,028","4,586,423","4,777,750",Republican,2020
281,Montana*,"612,075","840,801","855,210",Republican,2020
282,Nebraska,"966,920","1,390,687","1,477,375",Republican,2020
283,Nevada,"1,407,754","2,128,186","2,421,837",Republican,2020
284,New Hampshire,"814,499","1,087,140","1,123,863",Republican,2020
285,New Jersey,"4,635,585","6,442,755","7,271,361",Democrat,2020
286,New Mexico,"928,230","1,520,916","1,639,967",Democrat,2020
287,New York,"8,690,139","14,223,694","15,990,656",Democrat,2020
288,North Carolina,"5,545,848","7,619,132","8,180,315",Democrat,2020
289,North Dakota,"364,251","574,506","594,267",Republican,2020
290,Ohio,"5,974,121","8,911,864","9,198,716",Republican,2020
291,Oklahoma,"1,565,000","2,829,329","3,014,541",Republican,2020
292,Oregon,"2,413,890","3,166,794","3,374,426",Democrat,2020
293,Pennsylvania*,"6,958,551","9,927,102","10,336,614",Democrat,2020
294,Rhode Island,"522,488","827,594","887,378",Democrat,2020
295,South Carolina,"2,533,010","3,842,990","4,030,234",Republican,2020
296,South Dakota,"427,529","643,963","670,773",Republican,2020
297,Tennessee,"3,065,000","5,131,238","5,397,825",Republican,2020
298,Texas,"11,350,000","18,660,177","21,916,249",Republican,2020
299,Utah,"1,515,845","2,190,033","2,341,833",Republican,2020
300,Vermont,"370,968","513,506","525,579",Republican,2020
301,Virginia,"4,523,142","6,215,576","6,748,359",Republican,2020
302,Washington,"4,116,894","5,405,804","6,034,791",Democrat,2020
303,West Virginia,"802,726","1,402,385","1,430,531",Republican,2020
304,Wisconsin,"3,310,000","4,395,551","4,614,661",Democrat,2020
305,Wyoming,"278,503","426,246","442,682",Republican,2020
