State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
Minnesota,50.6%,50.4%,47.2%,"1,992,613","1,981,511","3,935,121","4,179,744",4.5%,"10,003","97,661","6,642","71,335",,MN
Mississippi,,29.0%,27.9%,,"631,858","2,181,131","2,258,047",1.7%,"18,756","34,398","9,883","47,902",,MS
Missouri,33.6%,31.7%,30.5%,"1,509,025","1,426,303","4,493,722","4,670,553",2.5%,"31,432","47,303","18,495","76,417",,MO
Montana,47.5%,46.9%,46.1%,"373,831","369,826","787,748","797,527",1.1%,"3,681",0,0,"3,681",,MT
Nebraska,41.4%,40.5%,38.0%,"552,115","539,891","1,334,453","1,416,500",5.1%,"5,221","12,940","1,067","13,534",,NE
Nevada,29.6%,29.3%,25.2%,"552,546","547,349","1,867,644","2,184,884",12.5%,"12,537","12,027","5,927","25,199",,NV
New Hampshire,48.3%,47.6%,46.0%,"495,565","488,159","1,025,862","1,063,539",3.1%,"2,867",0,0,"2,867",,NH
New Jersey,32.5%,31.1%,27.0%,"1,955,042","1,869,535","6,014,127","6,940,888",11.9%,"20,255","115,898","14,889","100,047",,NJ
New Mexico,,35.4%,32.3%,,"512,805","1,449,503","1,582,259",7.4%,"6,879","16,060","2,255","18,128",,NM
New York,29.0%,28.2%,24.6%,"3,930,310","3,819,010","13,553,426","15,569,463",12.1%,"48,376",0,"44,889","93,265",,NY
North Carolina,41.2%,40.8%,37.9%,"2,939,767","2,915,281","7,143,737","7,689,105",5.9%,"35,726","90,918","10,025","96,665",,NC
North Dakota,45.0%,43.8%,42.7%,"255,128","248,670","567,221","573,831",2.2%,"1,700",0,0,"1,700",,ND
Ohio,36.2%,35.1%,34.1%,"3,149,876","3,055,913","8,701,243","8,961,449",2.4%,"51,024",0,0,"51,024",,OH
Oklahoma,30.0%,29.9%,28.1%,"825,607","824,831","2,755,091","2,928,877",4.6%,"27,650","28,568","2,560","46,208",,OK
Oregon,53.4%,50.9%,47.2%,"1,541,782","1,469,717","2,887,517","3,118,999",6.7%,"15,075",0,0,"15,075",,OR
Pennsylvania,36.5%,36.1%,34.6%,"3,535,576","3,495,866","9,689,491","10,092,331",3.5%,"49,643",0,0,"49,643",,PA
Rhode Island,42.4%,41.7%,38.5%,"329,212","324,055","776,286","843,570",7.3%,"3,294",0,0,"3,294",,RI
South Carolina,35.2%,34.8%,33.1%,"1,261,611","1,246,301","3,584,461","3,761,320",3.4%,"20,917","35,096","5,225","45,796",,SC
South Dakota,44.7%,44.3%,43.1%,"282,291","279,412","630,989","640,622",2.2%,"3,528",0,"2,611","6,139",,SD
Tennessee,29.8%,28.6%,27.2%,"1,430,117","1,374,065","4,799,476","5,061,583",3.5%,"28,495","62,950","13,498","77,245",,TN
Texas,,28.3%,23.8%,,"4,727,208","16,675,420","19,958,733",13.3%,"157,361","388,101","111,412","486,110",,TX
Utah,30.3%,29.7%,27.5%,"577,973","565,970","1,905,801","2,048,506",6.8%,"6,824",0,0,"6,824",,UT
Vermont,40.8%,38.9%,38.1%,"202,445","193,087","495,884","504,186",2.2%,0,0,0,0,,VT
Virginia,36.8%,36.6%,33.7%,"2,194,346","2,184,473","5,962,456","6,467,462",6.9%,"36,943","54,966","1,732","69,456",,VA
Washington,43.1%,41.2%,37.1%,"2,124,330","2,029,189","4,928,407","5,479,396",8.4%,"17,345","94,112","9,880","79,928",,WA
West Virginia,32.0%,31.2%,30.7%,"462,864","451,498","1,447,652","1,465,232",0.9%,"6,873","7,174","2,749","13,639",,WV
Wisconsin,56.9%,56.6%,53.9%,"2,422,248","2,410,314","4,260,427","4,454,970",3.1%,"22,097","46,212","20,010","67,986",,WI
Wyoming,39.7%,39.0%,37.3%,"171,153","168,390","431,434","445,626",2.7%,"2,330","5,196",715,"5,955",,WY
