,State,Total Ballots Counted,Voting-Eligible Population (VEP),Voting-Age Population (VAP),Party,Year
102,United States,"90,912,015","217,551,109","236,022,989",N/A,2010
103,Alabama,"1,503,232","3,472,582","3,661,784",Rebuplican,2010
104,Alaska,"261,128","493,764","528,744",Republican,2010
105,Arizona,"1,750,840","4,209,544","4,807,398",Republican,2010
106,Arkansas,"789,773","2,081,156","2,216,171",Republican,2010
107,California,"10,529,134","22,946,053","28,167,234",Democrat,2010
108,Colorado,"1,828,323","3,533,054","3,843,619",Democrat,2010
109,Connecticut,"1,153,872","2,512,981","2,765,843",Democrat,2010
110,Delaware,"316,754","646,969","696,940",Democrat,2010
111,Florida,"5,473,787","12,961,184","14,916,066",Democrat,2010
112,Georgia,"2,623,035","6,464,845","7,255,919",Republican,2010
113,Hawaii,"386,302","959,531","1,062,593",Democrat,2010
114,Idaho,"459,079","1,069,446","1,147,210",Republican,2010
115,Illinois,"3,792,770","8,798,829","9,735,944",Democrat,2010
116,Indiana,"1,791,832","4,697,111","4,896,656",Democrat,2010
117,Iowa,"1,133,429","2,234,516","2,328,262",Democrat,2010
118,Kansas,"857,658","2,011,497","2,137,815",Republican,2010
119,Kentucky,"1,417,995","3,198,093","3,332,204",Republican,2010
120,Louisiana,"1,298,649","3,249,524","3,438,247",Republican,2010
121,Maine,"580,584","1,038,201","1,055,605",Democrat,2010
122,Maryland,"1,868,179","4,001,034","4,449,617",Democrat,2010
123,Massachusetts,"2,319,963","4,693,670","5,152,976",Democrat,2010
124,Michigan,"3,268,217","7,245,281","7,555,742",Democrat,2010
125,Minnesota,"2,123,369","3,802,677","4,041,199",Democrat,2010
126,Mississippi,,"2,129,334","2,220,094",Republican,2010
127,Missouri,"1,997,271","4,366,435","4,581,260",Republican,2010
128,Montana,"367,096","758,653","770,601",Republican,2010
129,Nebraska,"503,514","1,301,483","1,375,023",Republican,2010
130,Nevada,"723,515","1,747,288","2,046,400",Democrat,2010
131,New Hampshire,"461,423","999,918","1,033,023",Democrat,2010
132,New Jersey,"2,200,974","5,834,037","6,750,869",Democrat,2010
133,New Mexico,"630,013","1,408,872","1,552,212",Democrat,2010
134,New York,"4,763,899","13,135,048","15,111,583",Democrat,2010
135,North Carolina,"2,700,706","6,785,463","7,310,093",Democrat,2010
136,North Dakota,"241,039","516,974","527,497",Republican,2010
137,Ohio,"3,956,028","8,571,952","8,826,908",Democrat,2010
138,Oklahoma,"1,043,507","2,666,767","2,839,030",Republican,2010
139,Oregon,"1,487,210","2,760,607","2,984,806",Democrat,2010
140,Pennsylvania,"4,055,336","9,565,822","9,946,290",Democrat,2010
141,Rhode Island,"346,357","763,534","829,913",Democrat,2010
142,South Carolina,"1,365,480","3,388,417","3,571,250",Republican,2010
143,South Dakota,"323,410","599,507","616,113",Republican,2010
144,Tennessee,"1,620,542","4,622,919","4,878,724",Republican,2010
145,Texas,"5,066,957","15,514,007","18,487,369",Republican,2010
146,Utah,"653,274","1,772,934","1,914,974",Republican,2010
147,Vermont,"243,617","488,942","498,254",Democrat,2010
148,Virginia,"2,214,505","5,660,589","6,194,717",Democrat,2010
149,Washington,"2,565,589","4,724,350","5,190,736",Democrat,2010
150,West Virginia,"536,493","1,442,003","1,468,812",Republican,2010
151,Wisconsin,"2,185,021","4,172,130","4,365,214",Democrat,2010
152,Wyoming,"190,822","414,536","430,673",Republican,2010
153,United States,"83,262,122","227,157,964","245,838,140",N/A,2014
154,Alabama,"1,191,274","3,588,783","3,738,721",Rebuplican,2014
155,Alaska,"285,431","520,562","550,837",Republican,2014
156,Arizona,"1,537,671","4,510,186","5,119,512",Republican,2014
157,Arkansas,"852,642","2,117,881","2,262,057",Republican,2014
158,California,"7,513,972","24,440,416","29,677,092",Democrat,2014
159,Colorado,"2,080,071","3,800,664","4,127,123",Democrat,2014
160,Connecticut,"1,096,556","2,577,311","2,828,562",Democrat,2014
161,Delaware,"238,110","681,526","733,971",Democrat,2014
162,Florida,"6,026,802","13,914,216","15,945,404",Democrat,2014
163,Georgia,"2,596,947","6,725,041","7,629,263",Republican,2014
164,Hawaii,"369,554","1,012,123","1,112,282",Democrat,2014
165,Idaho,"445,307","1,119,882","1,205,335",Republican,2014
166,Illinois,"3,680,417","9,028,752","9,895,610",Democrat,2014
167,Indiana,"1,387,622","4,829,510","5,018,794",Republican,2014
168,Iowa,"1,142,284","2,269,179","2,381,863",Democrat,2014
169,Kansas,"887,023","2,048,164","2,180,860",Republican,2014
170,Kentucky,"1,459,409","3,247,300","3,400,898",Republican,2014
171,Louisiana,"1,503,975","3,349,433","3,541,411",Republican,2014
172,Maine,"616,996","1,051,557","1,070,535",Democrat,2014
173,Maryland,"1,745,104","4,154,546","4,631,815",Democrat,2014
174,Massachusetts,"2,186,789","4,896,296","5,381,878",Democrat,2014
175,Michigan,"3,188,956","7,383,958","7,696,494",Democrat,2014
176,Minnesota,"1,992,613","3,935,121","4,179,744",Democrat,2014
177,Mississippi,,"2,181,131","2,258,047",Republican,2014
178,Missouri,"1,509,025","4,493,722","4,670,553",Republican,2014
179,Montana,"373,831","787,748","797,527",Republican,2014
180,Nebraska,"552,115","1,334,453","1,416,500",Republican,2014
181,Nevada,"552,546","1,867,644","2,184,884",Democrat,2014
182,New Hampshire,"495,565","1,025,862","1,063,539",Democrat,2014
183,New Jersey,"1,955,042","6,014,127","6,940,888",Democrat,2014
184,New Mexico,,"1,449,503","1,582,259",Democrat,2014
185,New York,"3,930,310","13,553,426","15,569,463",Democrat,2014
186,North Carolina,"2,939,767","7,143,737","7,689,105",Republican,2014
187,North Dakota,"255,128","567,221","573,831",Republican,2014
188,Ohio,"3,149,876","8,701,243","8,961,449",Democrat,2014
189,Oklahoma,"825,607","2,755,091","2,928,877",Republican,2014
190,Oregon,"1,541,782","2,887,517","3,118,999",Democrat,2014
191,Pennsylvania,"3,535,576","9,689,491","10,092,331",Democrat,2014
192,Rhode Island,"329,212","776,286","843,570",Democrat,2014
193,South Carolina,"1,261,611","3,584,461","3,761,320",Republican,2014
194,South Dakota,"282,291","630,989","640,622",Republican,2014
195,Tennessee,"1,430,117","4,799,476","5,061,583",Republican,2014
196,Texas,,"16,675,420","19,958,733",Republican,2014
197,Utah,"577,973","1,905,801","2,048,506",Republican,2014
198,Vermont,"202,445","495,884","504,186",Democrat,2014
199,Virginia,"2,194,346","5,962,456","6,467,462",Democrat,2014
200,Washington,"2,124,330","4,928,407","5,479,396",Democrat,2014
201,West Virginia,"462,864","1,447,652","1,465,232",Republican,2014
202,Wisconsin,"2,422,248","4,260,427","4,454,970",Democrat,2014
203,Wyoming,"171,153","431,434","445,626",Republican,2014
204,United States,"118,581,921","237,089,672","255,801,552",N/A,2018
205,Alabama,"1,721,906","3,666,511","3,820,544",Republican,2018
206,Alaska,"285,009","519,913","551,451",Republican,2018
207,Arizona,"2,409,910","5,082,126","5,678,479",Republican,2018
208,Arkansas,"898,793","2,176,226","2,321,029",Republican,2018
209,California,"12,712,542","25,782,389","30,659,000",Democrat,2018
210,Colorado,"2,583,580","4,210,816","4,523,289",Democrat,2018
211,Connecticut,"1,421,953","2,597,134","2,838,275",Democrat,2018
212,Delaware,"365,467","713,781","772,850",Democrat,2018
213,Florida,"8,318,824","15,333,067","17,321,691",Republican,2018
214,Georgia,"3,949,905","7,303,056","8,148,933",Republican,2018
215,Hawaii,"398,657","1,009,561","1,115,620",Democrat,2018
216,Idaho,"612,536","1,260,630","1,350,319",Republican,2018
217,Illinois,"4,635,541","8,999,121","9,848,647",Democrat,2018
218,Indiana,"2,308,258","4,960,307","5,176,820",Republican,2018
219,Iowa,"1,334,279","2,303,627","2,431,107",Republican,2018
220,Kansas,"1,060,000","2,076,345","2,215,608",Republican,2018
221,Kentucky,"1,612,353","3,310,636","3,468,416",Republican,2018
222,Louisiana,"1,519,405","3,367,670","3,560,271",Republican,2018
223,Maine,"646,013","1,078,321","1,097,650",Democrat,2018
224,Maryland,"2,335,128","4,311,082","4,715,595",Democrat,2018
225,Massachusetts,"2,752,665","5,037,366","5,546,390",Democrat,2018
226,Michigan,"4,341,340","7,519,962","7,849,909",Republican,2018
227,Minnesota,"2,611,365","4,070,605","4,347,041",Democrat,2018
228,Mississippi,"961,025","2,193,563","2,278,027",Republican,2018
229,Missouri,"2,442,306","4,583,152","4,773,831",Republican,2018
230,Montana,"509,213","830,480","843,058",Republican,2018
231,Nebraska,"706,652","1,372,894","1,461,220",Republican,2018
232,Nevada,"975,980","2,099,842","2,403,374",Republican,2018
233,New Hampshire,"580,568","1,075,753","1,107,322",Republican,2018
234,New Jersey,"3,248,642","6,074,050","6,945,711",Democrat,2018
235,New Mexico,"701,654","1,498,900","1,624,253",Democrat,2018
236,New York,"6,230,959","13,620,990","15,412,110",Democrat,2018
237,North Carolina,"3,755,778","7,663,854","8,222,687",Republican,2018
238,North Dakota,"330,598","562,854","582,571",Republican,2018
239,Ohio,"4,496,834","8,832,187","9,119,467",Republican,2018
240,Oklahoma,"1,190,000","2,828,577","3,011,498",Republican,2018
241,Oregon,"1,914,923","3,126,630","3,364,847",Democrat,2018
242,Pennsylvania,"5,043,029","9,745,275","10,172,074",Republican,2018
243,Rhode Island,"381,267","802,033","855,526",Democrat,2018
244,South Carolina,"1,726,527","3,881,840","4,057,306",Republican,2018
245,South Dakota,"341,048","642,257","669,423",Republican,2018
246,Tennessee,"2,267,428","5,073,296","5,337,147",Republican,2018
247,Texas,"8,375,000","18,377,841","21,711,618",Republican,2018
248,Utah,"1,082,972","2,140,159","2,291,926",Republican,2018
249,Vermont,"278,230","499,907","510,397",Democrat,2018
250,Virginia,"3,363,505","6,177,626","6,687,863",Democrat,2018
251,Washington,"3,133,448","5,373,202","5,981,386",Democrat,2018
252,West Virginia,"597,149","1,404,206","1,429,959",Republican,2018
253,Wisconsin,"2,675,000","4,354,527","4,563,564",Republican,2018
254,Wyoming,"205,275","428,898","445,747",Republican,2018
255,United States,"112,030,874","242,690,810","261,673,203",N/A,2022
256,Alabama*,"1,424,087","3,820,009","3,977,770",Republican,2022
257,Alaska,"267,047","531,448","558,308",Republican,2022
258,Arizona,"2,592,313","5,257,070","5,806,140",Democrat,2022
259,Arkansas,"914,227","2,202,252","2,357,190",Republican,2022
260,California,"11,146,610","25,994,715","30,542,685",Democrat,2022
261,Colorado,"2,540,666","4,357,176","4,642,930",Democrat,2022
262,Connecticut,"1,297,811","2,672,164","2,901,604",Democrat,2022
263,Delaware,"325,632","761,497","815,329",Democrat,2022
264,Florida,"7,796,916","16,197,278","18,100,676",Republican,2022
265,Georgia,"3,964,926","7,644,125","8,445,249",Republican,2022
266,Hawaii,"423,443","1,046,736","1,144,775",Democrat,2022
267,Idaho*,"595,350","1,397,732","1,490,206",Republican,2022
268,Illinois,"4,144,125","9,048,164","9,859,786",Democrat,2022
269,Indiana,"1,880,755","5,061,894","5,277,826",Republican,2022
270,Iowa,"1,230,417","2,372,595","2,482,470",Republican,2022
271,Kansas*,"1,008,998","2,121,246","2,251,251",Democrat,2022
272,Kentucky,"1,502,550","3,352,567","3,512,486",Democrat,2022
273,Louisiana,"1,410,466","3,355,031","3,524,363",Democrat,2022
274,Maine,"680,909","1,119,461","1,143,143",Democrat,2022
275,Maryland,"2,031,635","4,434,258","4,823,486",Democrat,2022
276,Massachusetts,"2,511,461","5,141,977","5,651,857",Democrat,2022
277,Michigan,"4,500,400","7,640,677","7,933,413",Democrat,2022
278,Minnesota,"2,526,646","4,181,894","4,434,088",Democrat,2022
279,Mississippi*,"709,100","2,183,828","2,263,618",Republican,2022
280,Missouri*,"2,304,250","4,642,509","4,822,855",Republican,2022
281,Montana,"468,326","879,710","895,752",Republican,2022
282,Nebraska,"682,716","1,409,798","1,494,725",Republican,2022
283,Nevada,"1,023,617","2,232,999","2,502,244",Republican,2022
284,New Hampshire,"626,931","1,113,547","1,145,537",Republican,2022
285,New Jersey,"2,645,539","6,447,094","7,275,453",Democrat,2022
286,New Mexico,"714,754","1,542,457","1,657,556",Democrat,2022
287,New York,"5,962,278","14,026,187","15,676,287",Democrat,2022
288,North Carolina,"3,790,202","7,972,970","8,455,572",Democrat,2022
289,North Dakota,"242,566","581,570","598,899",Republican,2022
290,Ohio,"4,201,368","8,921,202","9,199,881",Republican,2022
291,Oklahoma*,"1,153,284","2,913,333","3,080,502",Republican,2022
292,Oregon,"1,997,689","3,208,133","3,409,264",Democrat,2022
293,Pennsylvania*,"5,410,022","9,953,327","10,366,708",Democrat,2022
294,Rhode Island*,"361,449","828,495","890,835",Democrat,2022
295,South Carolina,"1,718,626","4,018,588","4,195,145",Republican,2022
296,South Dakota*,"354,670","668,380","695,896",Republican,2022
297,Tennessee*,"1,756,397","5,270,397","5,539,421",Republican,2022
298,Texas*,"8,151,590","19,499,000","22,746,809",Republican,2022
299,Utah,"1,084,634","2,317,746","2,468,679",Republican,2022
300,Vermont,"291,955","521,758","533,545",Republican,2022
301,Virginia,"3,021,956","6,348,891","6,836,463",Republican,2022
302,Washington,"3,067,686","5,543,001","6,164,761",Democrat,2022
303,West Virginia,"494,753","1,396,169","1,423,003",Republican,2022
304,Wisconsin*,"2,673,154","4,467,396","4,655,496",Democrat,2022
305,Wyoming,"198,198","434,797","452,896",Republican,2022
